Gmt time,Ask,Bid,AskVolume,BidVolume
13.08.2021 19:34:57.430,109.587,109.584,2.25,1
13.08.2021 19:35:08.755,109.587,109.58500000000001,1,1.2
13.08.2021 19:35:08.859,109.588,109.58500000000001,1,1.95
13.08.2021 19:35:16.310,109.58600000000001,109.583,1,3.07
13.08.2021 19:35:16.412,109.58500000000001,109.58200000000001,1,4.27
13.08.2021 19:35:23.099,109.583,109.581,1,1
13.08.2021 19:35:23.200,109.583,109.58,1,1.5
13.08.2021 19:35:23.301,109.58200000000001,109.58,1,1
13.08.2021 19:35:23.554,109.58200000000001,109.579,1,3.07
13.08.2021 19:35:28.696,109.581,109.57799999999999,1,3.07
13.08.2021 19:35:41.286,109.58,109.57700000000001,1.69,1.57
13.08.2021 19:35:46.662,109.58,109.57799999999999,1,1
13.08.2021 19:36:01.694,109.58,109.57700000000001,1.5,1.57
13.08.2021 19:36:26.706,109.58,109.57799999999999,1,1
13.08.2021 19:36:31.262,109.581,109.57799999999999,1.25,1
13.08.2021 19:36:53.804,109.58,109.575,2.44,1.95
13.08.2021 19:36:53.956,109.57799999999999,109.57600000000001,1,1
13.08.2021 19:36:54.035,109.57700000000001,109.574,1.5,2.7
13.08.2021 19:36:54.480,109.57600000000001,109.573,1,2.7
13.08.2021 19:37:30.852,109.57600000000001,109.574,1,1
13.08.2021 19:37:36.348,109.57600000000001,109.573,1,2.7
13.08.2021 19:37:37.248,109.57600000000001,109.574,1,1
13.08.2021 19:37:42.344,109.57700000000001,109.574,1.1,1.5
13.08.2021 19:37:50.392,109.579,109.574,1.41,4.57
13.08.2021 19:37:50.443,109.581,109.57799999999999,2.17,1
13.08.2021 19:37:50.544,109.58200000000001,109.58,2.89,1
13.08.2021 19:38:07.043,109.581,109.58,1.01,1
13.08.2021 19:38:07.167,109.581,109.579,1.01,1
13.08.2021 19:38:10.140,109.581,109.58,1.25,1
13.08.2021 19:38:22.226,109.58200000000001,109.58,1.01,1
13.08.2021 19:39:06.618,109.58200000000001,109.57799999999999,1.75,1.2
13.08.2021 19:39:06.778,109.58200000000001,109.58,1.25,1
13.08.2021 19:39:56.172,109.583,109.58,2.89,1
13.08.2021 19:40:03.038,109.58200000000001,109.58,1,1
13.08.2021 19:40:03.139,109.58200000000001,109.579,1.69,1
13.08.2021 19:40:39.097,109.58200000000001,109.579,1.26,1.5
13.08.2021 19:40:58.685,109.58200000000001,109.579,1.25,1.5
13.08.2021 19:41:16.421,109.58200000000001,109.58,1.25,1
13.08.2021 19:41:16.522,109.58,109.57600000000001,2.14,1.5
13.08.2021 19:41:16.573,109.579,109.57600000000001,3.32,1.5
13.08.2021 19:41:16.674,109.579,109.57600000000001,4.39,1.5
13.08.2021 19:41:16.988,109.579,109.57799999999999,1.5,1
13.08.2021 19:41:17.039,109.58200000000001,109.57799999999999,1.76,1
13.08.2021 19:41:17.090,109.57799999999999,109.57600000000001,1,1
13.08.2021 19:41:17.242,109.57799999999999,109.575,1,1.5
13.08.2021 19:41:18.568,109.57799999999999,109.575,1.26,1.5
13.08.2021 19:41:22.691,109.57799999999999,109.574,3.14,1
13.08.2021 19:41:31.578,109.57799999999999,109.573,2.95,1
13.08.2021 19:41:31.730,109.57700000000001,109.574,1.76,1
13.08.2021 19:42:16.543,109.57700000000001,109.575,1,1
13.08.2021 19:42:16.594,109.579,109.57799999999999,1,1
13.08.2021 19:42:16.695,109.579,109.57700000000001,1.25,1
13.08.2021 19:42:16.746,109.57799999999999,109.575,2.14,1
13.08.2021 19:42:16.850,109.57700000000001,109.574,1,1.5
13.08.2021 19:42:53.810,109.57799999999999,109.575,2.39,1
13.08.2021 19:43:03.208,109.57799999999999,109.575,1.01,1
13.08.2021 19:43:35.979,109.57799999999999,109.575,3.54,1
13.08.2021 19:43:41.668,109.57799999999999,109.574,1.79,1.5
13.08.2021 19:44:17.234,109.57700000000001,109.573,1.76,2.25
